"","results.parameter","results.city","results.country","results.coordinates.latitude","results.coordinates.longitude","units","valuemax","valuemean"
"106","pm25","SACRAMENTO","US",38.610924,-122.868884,"micrograms per cubic meter",26,9.41935483870968
"107","pm25","SACRAMENTO","US",38.610924,-122.868862,"micrograms per cubic meter",89,20.5428571428571
"108","pm25","SACRAMENTO","US",38.610924,-122.868841,"micrograms per cubic meter",33,8.1
"109","pm25","SACRAMENTO","US",38.610924,-122.868819,"micrograms per cubic meter",14,8.4
"110","pm25","SACRAMENTO","US",38.610935,-122.868884,"micrograms per cubic meter",32,8.06896551724138
"111","pm25","SACRAMENTO","US",38.610935,-122.868862,"micrograms per cubic meter",23,6.60606060606061
"112","pm25","SACRAMENTO","US",38.610935,-122.868841,"micrograms per cubic meter",28,8.62745098039216
"113","pm25","SACRAMENTO","US",38.610935,-122.868819,"micrograms per cubic meter",7,3.5
"114","pm25","SACRAMENTO","US",38.610935,-122.868798,"micrograms per cubic meter",49,13.9090909090909
"115","pm25","SACRAMENTO","US",38.610946,-122.868905,"micrograms per cubic meter",32,7.15384615384615
"116","pm25","SACRAMENTO","US",38.610946,-122.868884,"micrograms per cubic meter",40,11.7631578947368
"117","pm25","SACRAMENTO","US",38.610946,-122.868862,"micrograms per cubic meter",27,9.36
"118","pm25","SACRAMENTO","US",38.610946,-122.868841,"micrograms per cubic meter",41,17.1818181818182
"119","pm25","SACRAMENTO","US",38.610946,-122.868819,"micrograms per cubic meter",21,8.2
"120","pm25","SACRAMENTO","US",38.610957,-122.868905,"micrograms per cubic meter",35,8.94736842105263
"121","pm25","SACRAMENTO","US",38.610957,-122.868862,"micrograms per cubic meter",16,4.46153846153846
"122","pm25","SACRAMENTO","US",38.610957,-122.868841,"micrograms per cubic meter",25,8.34285714285714
"123","pm25","SACRAMENTO","US",38.610967,-122.868884,"micrograms per cubic meter",25,14.9090909090909
"124","pm25","SACRAMENTO","US",38.610967,-122.868862,"micrograms per cubic meter",10,4.5
"125","pm25","SACRAMENTO","US",38.610967,-122.868819,"micrograms per cubic meter",11,6.25
"126","pm25","SACRAMENTO","US",38.610978,-122.868841,"micrograms per cubic meter",12,6.33333333333333
"127","pm25","SACRAMENTO","US",38.610978,-122.868819,"micrograms per cubic meter",13,6.72727272727273
"128","pm25","SACRAMENTO","US",38.610978,-122.868798,"micrograms per cubic meter",4,2.9
"129","pm25","SANDOVAL","US",35.338407,-106.524292,"micrograms per cubic meter",17.5,3.846
"130","pm25","Sault Ste. Marie","US",46.49361,-84.364197,"micrograms per cubic meter",28.1,9.32054455445545
"131","pm25","Seneca","US",34.805,-83.237503,"micrograms per cubic meter",75.1,3.08545636910732
"132","pm25","Sierra Gorda","CL",-22.888724142633,-69.318140714844,"micrograms per cubic meter",20,8.78181818181818
"133","pm25","Sierra Vista-Douglas","US",31.3492,-109.539683,"micrograms per cubic meter",60,6.37549407114625
"134","pm25","Solapur","IN",17.6599188,75.9063906,"micrograms per cubic meter",109.74,52.2042152466368
"135","pm25","Suzhou","CN",33.6284,116.9677,"micrograms per cubic meter",120,43.6084337349398
"136","pm25","Suzhou","CN",33.63063889,116.989,"micrograms per cubic meter",121,44.889552238806
"137","pm25","Suzhou","CN",33.6481,116.9765,"micrograms per cubic meter",125,46.9307228915663
"138","pm25","Talagante","CL",-33.673752071375,-70.953064737434,"micrograms per cubic meter",671,16.1971580817052
